bridge_kit_fee_dev_collected,bridge_kit_fee_circle_collected,dev_address,transaction_hash,amount_bridged,blockchain
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x61bba2ed272eb2e3902214c42f542ad088ffe329926d6443e7dd1e92d5c446ff,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x0f0c9d249d4c4a83ca525bc95f3f1d32a2dc0d12a0a2c0ffdc1d23e7c6dedb3f,3.000000,arbitrum_sepolia
,,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0x63241ad3d2b387368767d5cfc3398e5f92266975a2b50a0f584957acf430c08d,0.010000,arbitrum_sepolia
0.0009,0.00010000000000000005,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0x06e3528ea6a1417e5a68b692ebbff3c0b68bb92eb1719cfc02f945ab40ad8777,0.010000,arbitrum_sepolia
,,0x3cb7440a095875b7ded1042986653e92655f4af5,0xa4dc3e4e8df28d45aab4484ea3f58be555d41fa1c67bda6b712dc7231b44d1bc,120.000000,arbitrum_sepolia
,,0x3cb7440a095875b7ded1042986653e92655f4af5,0x59ab2dfce694e072ff3cddd249ee63927af6955501ef84ea0fd93c252261cfe0,100.000000,arbitrum_sepolia
,,0x3cb7440a095875b7ded1042986653e92655f4af5,0x32b6fc1f717a8a7dce96733ec442c5f1c40761da01776466951a0997532da9f3,100.000000,arbitrum_sepolia
0.009,0.0010000000000000009,0x134d230fab42d29ce0c00b4c0d8cb9067054cf19,0xb2c28358af7e248037dcae4bacaa4ea70da0b1cd13c62314c982f8e77c9afeb9,9.990000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xa531d6a73e1b1abcc7e9ea70beebbac24b7cbc661c1a864756307b1b9f8a4eba,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x6e2d99c5d31df918a069fc9e827110b39658e33d01d34f5b49f40851b4b94924,3.000000,arbitrum_sepolia
